Stock #, Date,Currency Rate,Availability,Shape,Weight,Color,Clarity,Cut,Grade,Polish,Symmetry,Fluorescence,Measurements,Lab Report #,Amount USD,Amount CAD,Depth %,Table %,Girdle,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Country,Eye Clean 
,,,,,,,,,,,,,,,,,,,,,,,,,,
LGOV01,Feb 1 2022,,Yes,Oval,0.50,F,SI 2,,IGI,Very Good,Very Good,None,6.48 x 4.62 x 2.58 ,https://www.igi.org/reports/verify-your-report?r=LG414060150,$226.23,$305.41,55.80%,62.50%,Medium - Thick,Pointed,12.00%,32.1ø,38.50%,36.7ø,Canada,Yes
LGOV02,March 29 2022,,Yes,Oval,0.71,E,VVS 2,,IGI,Excellent,Excellent,None,7.08 x 4.87 x 3.16,https://www.igi.org/reports/verify-your-report?r=510163545,$426.25,$543.04,63.60%,57.50%,Slightly Thick - Thick,Pointed,14.50%,34.3ø,44.00%,41.6ø,Canada,Yes
LGOV03,Feb 1 2022,,Yes,Oval,0.71,E,VVS 2 ,,IGI,Very Good,Very Good,None,7.18 x 5.19 x 3.05,https://www.igi.org/reports/verify-your-report?r=LG389974373,$574.33,$763.00,58.50%,61.50%,Thin - Medium,Pointed,12.50%,,43.50%,,Canada,Yes
LGOV04,March 29 2022,,Yes,Oval,0.71,F,VS 1,,IGI,Excellent,Excellent,None,6.95 x 5.06 x 3.17,https://www.igi.org/reports/verify-your-report?r=515224036,$357.00,$451.00,62.60%,59.00%,Slightly Thick - Thick,Pointed,14.00%,34.2ø,44.00%,41.4ø,Canada,Yes
LGOV05,April 20th 2022,,Yes,Oval,1.00,D,VS 2,,IGI,Excellent,Excellent,None,7.66 x 5.68 x 3.54,https://www.igi.org/reports/verify-your-report?r=517284452,$687.50,$837.00,62.30%,62.00%,Slightly Thick - Thick,Pointed,14.00%,35.7ø,43.00%,39.9ø,Canada,Yes
LGOV06,Feb 1 2022,,Yes,Oval,1.01,D,VVS 1,,IGI,Very Good,Very Good,None,8.29 x 5.66 x 3.36 ,https://www.igi.org/reports/verify-your-report?r=LG414069178,"$1,659.00","$2,239.81",59.40%,62.00%,Slightly Thick - Thick,Pointed,12.50%,32.9ø,41.50%,39.7ø,Canada,Yes
LGOV07,Feb 1 2022,,Yes,Oval,1.02,D,VVS 2 ,,IGI,Excellent,Excellent,None,8.08 x 5.78 x 3.56,https://www.igi.org/reports/verify-your-report?r=LG455018319,"$1,458.00","$1,966.00",61.60%,60.50%,Medium - Slightly Thick,Pointed,13.50%,34.4ø,44.50%,40.7ø,Canada,Yes
LGOV08,,,Yes,Oval,1.05,D,VVS 2 ,,IGI,Very Good,Excellent,None,7.95 x 5.70 x 3.64,https://www.igi.org/reports/verify-your-report?r=497171784,"$1,258.00","$1,422.00",63.90%,62.00%,Medium,Pointed,13.50%,34.9ø,46.00%,41.1ø,Canada,Yes
LGOV09,Feb 1 2022,,Nick Colucci,Oval,1.10,F,VS 1,,IGI,Very Good,Very Good,None,8.69 x 5.76 x 3.47,https://www.igi.org/reports/verify-your-report?r=LG476185598,$815.00,"$1,112.00",60.20%,64.00%,Medium - Slightly Thick,Pointed,12.00%,33.5ø,44.00%,40.7ø,Canada,Yes
LGOV10,Feb 1 2022,,Yes,Oval,1.12,D,VS 1,,IGI,Excellent,Excellent,None,8.00 x 5.92 x 3.70,https://www.igi.org/reports/verify-your-report?r=LG480176299,"$1,015.00","$1,320.00",62.50%,62.50%,Medium - Slightly Thick,Pointed,14.00%,37ø,45.00%,41.3ø,Canada,Yes
LGOV11,Feb 1 2022,,Yes,Oval,1.12,E,VS 1,,IGI,Excellent,Excellent,None,8.34 x 5.85 x 3.68,https://www.igi.org/reports/verify-your-report?r=LG450027791,$831.00,"$1,132.00",62.90%,57.00%,Medium - Slightly Thick,Pointed,14.50%,33.9ø,45.00%,41ø,Canada,Yes
LGOV12,June 28th 2022,,Lucas Lupinski,Oval,1.26,E,VS 1,,IGI,Excellent,Excellent,None,8.39 x 6.09 x 3.78,https://www.igi.org/reports/verify-your-report?r=520212554,$800.00,"$1,094.81",62.10%,60.00%,Medium - Slightly Thick,Pointed,13.50%,33.9ø,44.50%,40.8ø,Canada,Yes
LGOV13,May 23rd 2022,,Richard Matteau,Oval,1.40,D,VS 1,,IGI,Excellent,Excellent,None,8.89 x 6.32 x 4.05,https://www.igi.org/reports/verify-your-report?r=516238500,"$1,190.00","$1,582.00",64.10%,60.00%,Medium,Pointed,12.50%,32.1ø,47.00%,42.3ø,Canada,Yes
LGOV14,September 17 2022,,Michael Paolella,Oval,1.43,D,VVS 1,,IGI,Very Good,Very Good,None,7.01 x 5.51 x 3.59,https://www.igi.org/reports/verify-your-report?r=LG500142640,"$1,770.00","$2,302.00",65.20%,69.00%,Medium,Pointed,13.50%,44ø,48.50%,31.9ø,Canada,Yes
LGOV15,June 28th 2022,,Ankit Rastogi,Oval,1.91,D,VS 2,,IGI,Excellent,Very Good,None,9.54 x 6.95 x 4.47,https://www.igi.org/reports/verify-your-report?r=530215940,"$1,890.00","$2,586.47",64.30%,61.00%,Medium - Slightly Thick,Pointed,1450.00%,36.7ø,45.00%,40.9ø,Canada,Yes
LGOV16,Oct 10 2020,,Yes,Oval,2.02,D,VVS 2 ,,IGI,Excellent,Excellent,None,9.94 x 7.17 x 4.40,https://www.igi.org/reports/verify-your-report?r=LG442030642,"$5,297.66","$7,155.00",61.40%,61.00%,Thick - Very Thick,Pointed,15.00%,37.5ø,41.00%,38.7ø,Canada,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
