productTitle,price,grade,quantity,collection,imageURL,ebayProfile,cost,,,,,
once Peace #1,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #2,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #3,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #4,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #5,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #6,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #7,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #8,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #9,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #10,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #1,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #2,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #3,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #4,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #5,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #6,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #7,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #8,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
once Peace #9,170,9.6ÿNearÿMint+ÿ(NM+),1,EO,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318523719i/1237398.jpg,test profile,120,,,,,
Asterix the Gaul #10,170,9.6ÿNearÿMint+ÿ(NM+),2,Ren‚ Goscinny,https://upload.wikimedia.org/wikipedia/en/a/ac/Asterix_the_Gaul.png,test profile,120,,,,,
